date,sessions,bounces,orders,revenue
2017-02-28,107,77,2,2553.40
2017-03-01,110,68,1,2056.50
2017-03-02,100,47,2,2966.90
2017-03-03,90,50,0,1603.40
2017-03-04,70,49,1,1475.60
2017-03-05,95,62,1,1889.40
2017-03-06,111,67,0,3181.20
2017-03-07,90,58,2,3093.90
2017-03-08,97,66,2,2230.50
2017-03-09,100,62,0,1376.85
2017-03-10,104,56,2,956.40
2017-03-11,86,60,1,522.40
2017-03-12,122,69,0,853.00
2017-03-13,117,71,0,3604.90
2017-03-14,110,61,3,3613.25
2017-03-15,110,55,2,3047.15
2017-03-16,108,54,4,1387.55
2017-03-17,83,50,2,1658.15
2017-03-18,113,80,1,1352.00
2017-03-19,119,63,0,3013.00
2017-03-20,122,84,0,2662.45
2017-03-21,82,55,1,2963.20
2017-03-22,91,64,0,2665.05
2017-03-23,95,48,2,2007.10
2017-03-24,82,58,0,833.95
2017-03-25,110,73,1,730.60
2017-03-26,96,63,0,2107.45
2017-03-27,105,57,2,3099.65
2017-03-28,97,61,0,1447.60
2017-03-29,99,62,1,2708.70
2017-03-30,104,56,0,2546.05
2017-03-31,91,62,1,692.00
2017-04-01,111,75,0,720.40
2017-04-02,93,72,0,1202.75
2017-04-03,133,68,2,1920.60
2017-04-04,103,65,3,2430.70
2017-04-05,110,73,2,2063.85
2017-04-06,134,75,1,1130.30
2017-04-07,92,58,2,2441.40
2017-04-08,102,60,1,1301.15
2017-04-09,104,71,2,1457.80
2017-04-10,87,60,3,1639.10
2017-04-11,117,77,2,2222.30
2017-04-12,104,61,4,3008.70
2017-04-13,92,58,0,1226.60
2017-04-14,138,87,3,1595.70
2017-04-15,165,114,1,789.45
2017-04-16,135,103,0,610.20
2017-04-17,284,216,0,2398.20
2017-04-18,299,207,5,4646.75
2017-04-19,331,218,0,5219.20
2017-04-20,511,316,5,1796.10
2017-04-21,305,170,2,1747.50
2017-04-22,336,209,2,1584.60
2017-04-23,396,224,3,2848.75
2017-04-24,393,239,5,3883.50
2017-04-25,380,240,2,5250.45
2017-04-26,390,241,3,3078.35
2017-04-27,258,148,3,3080.80
2017-04-28,290,182,3,1506.70
2017-04-29,271,177,0,391.40
2017-04-30,276,170,2,1525.00
2017-05-01,318,199,1,1259.00
2017-05-02,354,215,2,1338.20
2017-05-03,302,189,4,2110.20
2017-05-04,299,201,2,2718.50
2017-05-05,250,168,0,2069.00
2017-05-06,229,154,1,1108.50
2017-05-07,401,274,3,3029.35
2017-05-08,457,288,5,4217.40
2017-05-09,313,195,0,5999.20
2017-05-10,298,201,2,3803.60
2017-05-11,270,160,4,2657.20
2017-05-12,170,113,1,5250.40
2017-05-13,209,136,2,1244.00
2017-05-14,225,147,3,1732.20
2017-05-15,245,151,1,3656.90
2017-05-16,295,180,3,3674.60
2017-05-17,228,132,1,4111.20
2017-05-18,218,134,2,1870.20
2017-05-19,181,105,1,852.50
2017-05-20,169,111,1,25.00
2017-05-21,198,119,3,1817.10
2017-05-22,346,179,5,1793.00
2017-05-23,256,140,1,1720.80
2017-05-24,249,146,2,2402.50
2017-05-25,188,105,0,2422.50
2017-05-26,177,110,0,546.70
2017-05-27,129,8,1,897.80
2017-05-28,205,6,1,1814.80
2017-05-29,263,6,3,3194.60
2017-05-30,255,9,3,2762.80
2017-05-31,217,4,4,1902.30
2017-06-01,250,11,0,887.50
2017-06-02,201,4,1,922.50
2017-06-03,162,7,0,1363.00
2017-06-04,293,10,0,2176.10
2017-06-05,312,15,3,4617.00
2017-06-06,266,10,3,3055.20
2017-06-07,236,9,1,2513.20
2017-06-08,209,9,1,2039.30
2017-06-09,179,2,0,1824.60
2017-06-10,214,9,4,1259.40
2017-06-11,208,8,0,1063.50
2017-06-12,271,12,3,2174.10
2017-06-13,247,4,1,1707.70
2017-06-14,244,19,1,1446.40
2017-06-15,244,15,0,410.60
2017-06-16,252,14,0,1152.50
2017-06-17,246,19,0,1264.00
2017-06-18,288,27,3,1429.80
2017-06-19,254,15,2,2142.00
2017-06-20,273,17,2,2903.40
2017-06-21,275,13,1,914.00
2017-06-22,221,8,1,1605.10
2017-06-23,247,9,3,547.00
2017-06-24,247,10,2,431.40
2017-06-25,165,6,2,1217.50
2017-06-26,308,19,2,1293.00
2017-06-27,289,14,2,1027.40
2017-06-28,293,8,1,1854.10
2017-06-29,275,11,1,1276.40
2017-06-30,247,10,2,642.40
2017-07-01,283,19,2,482.00
2017-07-02,386,11,0,230.60
2017-07-03,377,12,3,3621.20
2017-07-04,404,11,1,2301.30
2017-07-05,438,10,1,1926.50
2017-07-06,330,15,3,857.60
2017-07-07,268,8,0,1125.20
2017-07-08,280,10,0,863.90
2017-07-09,362,4,1,485.20
2017-07-10,513,14,6,1824.00
2017-07-11,631,17,3,4882.70
2017-07-12,433,12,5,3450.60
2017-07-13,405,10,1,2412.90
2017-07-14,318,6,6,2346.00
2017-07-15,252,9,3,1450.80
2017-07-16,345,10,0,1018.40
2017-07-17,366,6,2,4814.50
2017-07-18,469,2,3,2689.40
2017-07-19,433,13,3,4002.20
2017-07-20,461,14,3,3919.30
2017-07-21,372,10,3,2132.80
2017-07-22,308,9,2,2546.50
2017-07-23,482,11,1,3500.10
2017-07-24,427,11,3,5414.90
2017-07-25,205,6,0,3424.60
2017-07-26,407,24,4,4714.70
2017-07-27,400,19,0,4286.80
2017-07-28,405,15,0,4237.60
2017-07-29,97,6,0,1067.60
2017-07-30,61,3,0,345.00
2017-07-31,71,6,0,390.20
2017-08-01,73,2,0,129.00
2017-08-02,85,7,0,696.30
2017-08-03,78,3,0,470.10
2017-08-04,88,2,0,1051.90
2017-08-05,62,2,0,206.00
2017-08-06,73,2,0,783.60
2017-08-07,99,9,2,1894.00
2017-08-08,96,5,1,868.20
2017-08-09,75,1,0,739.00
2017-08-10,76,1,0,1293.90
2017-08-11,71,3,0,297.00
2017-08-12,60,2,2,1109.20
2017-08-13,75,2,0,973.80
2017-08-14,90,0,1,2296.10
2017-08-15,96,0,0,2315.80
2017-08-16,156,8,0,2528.30
2017-08-17,375,5,0,3034.40
2017-08-18,308,8,2,2640.60
2017-08-19,308,4,1,924.60
2017-08-20,557,16,1,2934.80
2017-08-21,686,16,4,6841.70
2017-08-22,570,6,3,4512.10
2017-08-23,521,11,2,5020.30
2017-08-24,398,5,3,1646.10
2017-08-25,402,4,0,2116.80
2017-08-26,332,3,1,1289.00
2017-08-27,419,12,2,2867.30
2017-08-28,482,9,1,5810.20
2017-08-29,469,3,2,4923.50
2017-08-30,387,0,3,3896.10
2017-08-31,388,9,2,2481.50
2017-09-01,483,8,1,1798.90
2017-09-02,512,6,4,1454.00
2017-09-03,625,14,5,3132.90
2017-09-04,559,8,6,5012.80
2017-09-05,561,38,5,3507.10
2017-09-06,514,37,2,2490.80
2017-09-07,355,27,1,1132.70
2017-09-08,308,12,1,1199.50
2017-09-09,265,16,1,969.00
2017-09-10,350,18,3,681.60
2017-09-11,349,15,2,1640.80
2017-09-12,519,21,2,2499.70
2017-09-13,464,21,4,1136.00
2017-09-14,509,10,1,585.40
2017-09-15,429,10,1,523.00
2017-09-16,467,12,0,137.40
2017-09-17,566,23,1,812.00
2017-09-18,583,19,1,1337.60
2017-09-19,425,16,0,941.20
2017-09-20,562,21,0,1950.50
2017-09-21,417,20,2,3418.40
2017-09-22,310,16,1,1730.60
2017-09-23,327,14,2,2008.00
2017-09-24,525,10,2,2001.60
2017-09-25,569,21,0,2555.70
2017-09-26,518,16,4,4857.20
2017-09-27,471,13,2,4093.80
2017-09-28,395,11,3,2809.90
2017-09-29,374,14,0,1783.40
2017-09-30,302,8,2,2114.50
2017-10-01,553,30,0,2148.00
2017-10-02,568,19,1,3478.60
2017-10-03,552,15,2,5598.80
2017-10-04,507,13,4,4836.30
2017-10-05,553,24,3,2988.10
2017-10-06,539,9,2,1501.70
2017-10-07,392,14,0,1649.00
2017-10-08,761,27,5,3548.90
2017-10-09,757,31,8,4436.80
2017-10-10,610,21,1,4613.70
2017-10-11,562,10,3,4368.80
2017-10-12,528,18,5,4253.20
2017-10-13,465,17,2,1848.00
2017-10-14,464,15,0,1299.60
2017-10-15,702,12,2,4099.80
2017-10-16,643,11,3,4344.50
2017-10-17,738,13,4,5835.10
2017-10-18,589,12,4,6048.10
2017-10-19,546,13,1,4830.50
2017-10-20,516,8,1,3807.70
2017-10-21,572,8,1,996.00
2017-10-22,771,17,3,1936.10
2017-10-23,810,12,3,5049.90
2017-10-24,741,13,1,5300.80
2017-10-25,607,12,0,3526.40
2017-10-26,552,12,6,3417.20
2017-10-27,589,9,0,1206.70
2017-10-28,520,13,2,1535.60
2017-10-29,726,10,3,2780.60
2017-10-30,646,11,2,4098.40
2017-10-31,502,8,1,2724.60
2017-11-01,720,13,0,2921.20
2017-11-02,807,9,0,3370.40
2017-11-03,707,11,3,1802.80
2017-11-04,610,16,3,1962.20
2017-11-05,770,22,2,2505.60
2017-11-06,810,8,4,4774.90
2017-11-07,683,10,1,3985.10
2017-11-08,477,11,6,4174.30
2017-11-09,419,12,1,1419.00
2017-11-10,355,13,0,1796.00
2017-11-11,512,13,0,2528.50
2017-11-12,613,21,1,3594.90
2017-11-13,548,14,4,4773.20
2017-11-14,497,10,2,4651.90
2017-11-15,646,19,3,2388.30
2017-11-16,443,10,1,3281.00
2017-11-17,323,15,0,1037.00
2017-11-18,271,9,0,2022.00
2017-11-19,392,15,2,2015.70
2017-11-20,343,10,1,4399.80
2017-11-21,378,14,3,3383.80
2017-11-22,312,13,1,3883.30
2017-11-23,308,11,0,2605.10
2017-11-24,258,13,1,1853.40
2017-11-25,224,4,0,937.10
2017-11-26,424,19,1,3142.30
2017-11-27,347,9,1,3388.40
2017-11-28,353,11,2,4395.30
2017-11-29,312,9,0,2810.50
2017-11-30,324,12,1,3372.80
2017-12-01,312,12,2,2167.40
2017-12-02,285,8,0,1055.40
2017-12-03,406,19,3,2325.00
2017-12-04,397,13,1,3297.30
2017-12-05,337,19,0,3573.80
2017-12-06,286,15,3,2827.90
2017-12-07,269,12,1,1135.74
2017-12-08,233,10,1,2155.55
2017-12-09,242,3,0,1640.05
2017-12-10,392,15,1,3236.65
2017-12-11,343,14,1,2542.80
2017-12-12,400,11,3,3807.37
2017-12-13,343,14,3,3406.70
2017-12-14,324,5,3,2923.05
